[1.0, 0.5, 0.5];	[2.0, 0.5, 0.5];	[('m', '0-11')]
[1.0, 0.5, 0.5];	[2.0, 1.0, 1.0];	[('m', '0-11')]
[1.0, 0.5, 0.5];	[2.0, 1.5, 1.5];	[('m', '0-11')]
[1.0, 0.5, 0.5];	[2.0, 2.0, 2.0];	[('m', '0-11')]
[1.0, 0.5, 1.5];	[1.0, 1.0, 1.0];	[('m', '011')]
[1.0, 0.5, 1.5];	[1.0, 1.5, 1.5];	[('2', '001')]
[1.0, 0.5, 1.5];	[1.0, 2.0, 0.0];	[('m', '011')]
[1.0, 0.5, 1.5];	[1.5, 0.5, 1.0];	[('m', '-101')]
[1.0, 0.5, 1.5];	[1.5, 1.0, 1.5];	[('m', '110')]
[1.0, 0.5, 1.5];	[1.75, 0.25, 1.75];	[('m', '011')]
[1.0, 0.5, 1.5];	[1.75, 0.75, 1.25];	[('m', '011')]
[1.0, 0.5, 1.5];	[1.75, 1.25, 0.75];	[('m', '011')]
[1.0, 0.5, 1.5];	[1.75, 1.75, 0.25];	[('m', '011')]
[1.0, 0.5, 1.5];	[2.0, 0.0, 2.0];	[('m', '011')]
[1.0, 0.5, 1.5];	[2.0, 0.5, 1.5];	[('m', '011')]
[1.0, 0.5, 1.5];	[2.0, 1.0, 1.0];	[('m', '011')]
[1.0, 0.5, 1.5];	[2.0, 1.5, 0.5];	[('m', '011')]
[1.0, 0.5, 1.5];	[2.0, 2.0, 0.0];	[('m', '011')]
[1.0, 1.0, 0.0];	[1.0, 2.0, 1.0];	[('m', '011')]
[1.0, 1.0, 0.0];	[1.25, 0.75, 0.75];	[('m', '110')]
[1.0, 1.0, 0.0];	[1.25, 0.75, 1.75];	[('m', '110')]
[1.0, 1.0, 0.0];	[1.25, 1.25, 0.25];	[('m', '-110')]
[1.0, 1.0, 0.0];	[1.25, 1.25, 1.25];	[('m', '-110')]
[1.0, 1.0, 0.0];	[1.5, 0.5, 0.0];	[('m', '110')]
[1.0, 1.0, 0.0];	[1.5, 0.5, 1.0];	[('m', '110')]
[1.0, 1.0, 0.0];	[1.5, 0.5, 2.0];	[('m', '110')]
[1.0, 1.0, 0.0];	[1.5, 1.5, 0.0];	[('m', '-110')]
[1.0, 1.0, 0.0];	[1.5, 1.5, 1.0];	[('m', '-110')]
[1.0, 1.0, 0.0];	[1.5, 1.5, 2.0];	[('m', '-110')]
[1.0, 1.0, 0.0];	[1.75, 0.25, 0.75];	[('m', '110')]
[1.0, 1.0, 0.0];	[1.75, 0.25, 1.75];	[('m', '110')]
[1.0, 1.0, 0.0];	[1.75, 1.75, 0.25];	[('m', '-110')]
[1.0, 1.0, 0.0];	[1.75, 1.75, 1.25];	[('m', '-110')]
[1.0, 1.0, 0.0];	[2.0, 0.0, 0.0];	[('m', '110')]
[1.0, 1.0, 0.0];	[2.0, 0.0, 1.0];	[('m', '110')]
[1.0, 1.0, 0.0];	[2.0, 0.0, 2.0];	[('m', '110')]
[1.0, 1.0, 0.0];	[2.0, 1.0, 1.0];	[('m', '101')]
[1.0, 1.0, 0.0];	[2.0, 2.0, 0.0];	[('m', '-110')]
[1.0, 1.0, 0.0];	[2.0, 2.0, 1.0];	[('m', '-110')]
[1.0, 1.0, 0.0];	[2.0, 2.0, 2.0];	[('m', '-110')]
[1.0, 1.0, 1.0];	[1.0, 1.5, 0.5];	[('m', '011')]
[1.0, 1.0, 1.0];	[1.0, 1.5, 1.5];	[('m', '0-11')]
[1.0, 1.0, 1.0];	[1.0, 2.0, 0.0];	[('m', '011')]
[1.0, 1.0, 1.0];	[1.0, 2.0, 2.0];	[('m', '0-11')]
[1.0, 1.0, 1.0];	[1.25, 0.25, 0.25];	[('m', '0-11')]
[1.0, 1.0, 1.0];	[1.25, 0.25, 1.25];	[('m', '-101')]
[1.0, 1.0, 1.0];	[1.25, 0.75, 1.75];	[('m', '110')]
[1.0, 1.0, 1.0];	[1.25, 1.25, 0.25];	[('m', '-110')]
[1.0, 1.0, 1.0];	[1.25, 1.75, 0.75];	[('m', '101')]
[1.0, 1.0, 1.0];	[1.25, 1.75, 1.75];	[('m', '0-11')]
[1.0, 1.0, 1.0];	[1.5, 0.0, 0.5];	[('m', '101')]
[1.0, 1.0, 1.0];	[1.5, 0.0, 1.5];	[('m', '-101')]
[1.0, 1.0, 1.0];	[1.5, 0.5, 0.0];	[('m', '110')]
[1.0, 1.0, 1.0];	[1.5, 0.5, 1.0];	[('m', '110')]
[1.0, 1.0, 1.0];	[1.5, 0.5, 2.0];	[('m', '110')]
[1.0, 1.0, 1.0];	[1.5, 1.0, 0.5];	[('m', '101')]
[1.0, 1.0, 1.0];	[1.5, 1.0, 1.5];	[('m', '-101')]
[1.0, 1.0, 1.0];	[1.5, 1.5, 0.0];	[('m', '-110')]
[1.0, 1.0, 1.0];	[1.5, 1.5, 1.0];	[('m', '-110')]
[1.0, 1.0, 1.0];	[1.5, 1.5, 2.0];	[('m', '-110')]
[1.0, 1.0, 1.0];	[1.5, 2.0, 0.5];	[('m', '101')]
[1.0, 1.0, 1.0];	[1.5, 2.0, 1.5];	[('m', '-101')]
[1.0, 1.0, 1.0];	[1.75, 0.25, 0.75];	[('m', '110')]
[1.0, 1.0, 1.0];	[1.75, 0.75, 0.25];	[('m', '101')]
[1.0, 1.0, 1.0];	[1.75, 0.75, 1.25];	[('m', '011')]
[1.0, 1.0, 1.0];	[1.75, 1.25, 0.75];	[('m', '011')]
[1.0, 1.0, 1.0];	[1.75, 1.25, 1.75];	[('m', '-101')]
[1.0, 1.0, 1.0];	[1.75, 1.75, 1.25];	[('m', '-110')]
[1.0, 1.0, 1.0];	[2.0, 0.0, 1.0];	[('m', '110')]
[1.0, 1.0, 1.0];	[2.0, 0.5, 0.5];	[('m', '0-11')]
[1.0, 1.0, 1.0];	[2.0, 0.5, 1.5];	[('m', '011')]
[1.0, 1.0, 1.0];	[2.0, 1.0, 0.0];	[('m', '101')]
[1.0, 1.0, 1.0];	[2.0, 1.0, 2.0];	[('m', '-101')]
[1.0, 1.0, 1.0];	[2.0, 1.5, 0.5];	[('m', '011')]
[1.0, 1.0, 1.0];	[2.0, 1.5, 1.5];	[('m', '0-11')]
[1.0, 1.0, 1.0];	[2.0, 2.0, 1.0];	[('m', '-110')]
[1.0, 1.0, 2.0];	[1.0, 2.0, 1.0];	[('m', '0-11')]
[1.0, 1.0, 2.0];	[1.25, 0.75, 0.75];	[('m', '110')]
[1.0, 1.0, 2.0];	[1.25, 0.75, 1.75];	[('m', '110')]
[1.0, 1.0, 2.0];	[1.25, 1.25, 0.25];	[('m', '-110')]
[1.0, 1.0, 2.0];	[1.25, 1.25, 1.25];	[('m', '-110')]
[1.0, 1.0, 2.0];	[1.5, 0.5, 0.0];	[('m', '110')]
[1.0, 1.0, 2.0];	[1.5, 0.5, 1.0];	[('m', '110')]
[1.0, 1.0, 2.0];	[1.5, 0.5, 2.0];	[('m', '110')]
[1.0, 1.0, 2.0];	[1.5, 1.5, 0.0];	[('m', '-110')]
[1.0, 1.0, 2.0];	[1.5, 1.5, 1.0];	[('m', '-110')]
[1.0, 1.0, 2.0];	[1.5, 1.5, 2.0];	[('m', '-110')]
[1.0, 1.0, 2.0];	[1.75, 0.25, 0.75];	[('m', '110')]
[1.0, 1.0, 2.0];	[1.75, 0.25, 1.75];	[('m', '110')]
[1.0, 1.0, 2.0];	[1.75, 1.75, 0.25];	[('m', '-110')]
[1.0, 1.0, 2.0];	[1.75, 1.75, 1.25];	[('m', '-110')]
[1.0, 1.0, 2.0];	[2.0, 0.0, 0.0];	[('m', '110')]
[1.0, 1.0, 2.0];	[2.0, 0.0, 1.0];	[('m', '110')]
[1.0, 1.0, 2.0];	[2.0, 0.0, 2.0];	[('m', '110')]
[1.0, 1.0, 2.0];	[2.0, 1.0, 1.0];	[('m', '-101')]
[1.0, 1.0, 2.0];	[2.0, 2.0, 0.0];	[('m', '-110')]
[1.0, 1.0, 2.0];	[2.0, 2.0, 1.0];	[('m', '-110')]
[1.0, 1.0, 2.0];	[2.0, 2.0, 2.0];	[('m', '-110')]
[1.0, 1.5, 0.5];	[1.0, 1.5, 1.5];	[('2', '010')]
[1.0, 1.5, 0.5];	[1.0, 2.0, 0.0];	[('m', '011')]
[1.0, 1.5, 0.5];	[1.5, 1.0, 0.5];	[('m', '-110')]
[1.0, 1.5, 0.5];	[1.5, 1.5, 1.0];	[('m', '101')]
[1.0, 1.5, 0.5];	[1.75, 0.25, 1.75];	[('m', '011')]
[1.0, 1.5, 0.5];	[1.75, 0.75, 1.25];	[('m', '011')]
[1.0, 1.5, 0.5];	[1.75, 1.25, 0.75];	[('m', '011')]
[1.0, 1.5, 0.5];	[1.75, 1.75, 0.25];	[('m', '011')]
[1.0, 1.5, 0.5];	[2.0, 0.0, 2.0];	[('m', '011')]
[1.0, 1.5, 0.5];	[2.0, 0.5, 1.5];	[('m', '011')]
[1.0, 1.5, 0.5];	[2.0, 1.0, 1.0];	[('m', '011')]
[1.0, 1.5, 0.5];	[2.0, 1.5, 0.5];	[('m', '011')]
[1.0, 1.5, 0.5];	[2.0, 2.0, 0.0];	[('m', '011')]
[1.0, 1.5, 1.5];	[1.0, 2.0, 2.0];	[('m', '0-11')]
[1.0, 1.5, 1.5];	[1.25, 0.25, 0.25];	[('m', '0-11')]
[1.0, 1.5, 1.5];	[1.25, 0.75, 0.75];	[('m', '0-11')]
[1.0, 1.5, 1.5];	[1.25, 1.25, 1.25];	[('m', '0-11')]
[1.0, 1.5, 1.5];	[1.25, 1.75, 1.75];	[('m', '0-11')]
[1.0, 1.5, 1.5];	[1.5, 1.0, 1.5];	[('m', '-110')]
[1.0, 1.5, 1.5];	[1.5, 1.5, 1.0];	[('m', '-101')]
[1.0, 1.5, 1.5];	[2.0, 0.0, 0.0];	[('m', '0-11')]
[1.0, 1.5, 1.5];	[2.0, 0.5, 0.5];	[('m', '0-11')]
[1.0, 1.5, 1.5];	[2.0, 1.0, 1.0];	[('m', '0-11')]
[1.0, 1.5, 1.5];	[2.0, 1.5, 1.5];	[('m', '0-11')]
[1.0, 1.5, 1.5];	[2.0, 2.0, 2.0];	[('m', '0-11')]
[1.0, 2.0, 0.0];	[1.0, 2.0, 2.0];	[('2', '010')]
[1.0, 2.0, 0.0];	[1.75, 0.25, 1.75];	[('m', '011')]
[1.0, 2.0, 0.0];	[1.75, 0.75, 1.25];	[('m', '011')]
[1.0, 2.0, 0.0];	[1.75, 1.25, 0.75];	[('m', '011')]
[1.0, 2.0, 0.0];	[1.75, 1.75, 0.25];	[('m', '011')]
[1.0, 2.0, 0.0];	[2.0, 0.0, 2.0];	[('m', '011')]
[1.0, 2.0, 0.0];	[2.0, 0.5, 1.5];	[('m', '011')]
[1.0, 2.0, 0.0];	[2.0, 1.0, 0.0];	[('m', '-110')]
[1.0, 2.0, 0.0];	[2.0, 1.0, 1.0];	[('m', '011')]
[1.0, 2.0, 0.0];	[2.0, 1.5, 0.5];	[('m', '011')]
[1.0, 2.0, 0.0];	[2.0, 2.0, 0.0];	[('m', '011')]
[1.0, 2.0, 0.0];	[2.0, 2.0, 1.0];	[('m', '101')]
[1.0, 2.0, 1.0];	[1.25, 0.25, 1.25];	[('m', '-101')]
[1.0, 2.0, 1.0];	[1.25, 0.75, 0.75];	[('m', '101')]
[1.0, 2.0, 1.0];	[1.25, 1.25, 1.25];	[('m', '-101')]
[1.0, 2.0, 1.0];	[1.25, 1.75, 0.75];	[('m', '101')]
[1.0, 2.0, 1.0];	[1.5, 0.0, 0.5];	[('m', '101')]
[1.0, 2.0, 1.0];	[1.5, 0.0, 1.5];	[('m', '-101')]
[1.0, 2.0, 1.0];	[1.5, 1.0, 0.5];	[('m', '101')]
[1.0, 2.0, 1.0];	[1.5, 1.0, 1.5];	[('m', '-101')]
[1.0, 2.0, 1.0];	[1.5, 2.0, 0.5];	[('m', '101')]
[1.0, 2.0, 1.0];	[1.5, 2.0, 1.5];	[('m', '-101')]
[1.0, 2.0, 1.0];	[1.75, 0.25, 1.75];	[('m', '-101')]
[1.0, 2.0, 1.0];	[1.75, 0.75, 0.25];	[('m', '101')]
[1.0, 2.0, 1.0];	[1.75, 1.25, 1.75];	[('m', '-101')]
[1.0, 2.0, 1.0];	[1.75, 1.75, 0.25];	[('m', '101')]
[1.0, 2.0, 1.0];	[2.0, 0.0, 0.0];	[('m', '101')]
[1.0, 2.0, 1.0];	[2.0, 0.0, 2.0];	[('m', '-101')]
[1.0, 2.0, 1.0];	[2.0, 1.0, 0.0];	[('m', '101')]
[1.0, 2.0, 1.0];	[2.0, 1.0, 1.0];	[('m', '-110')]
[1.0, 2.0, 1.0];	[2.0, 1.0, 2.0];	[('m', '-101')]
[1.0, 2.0, 1.0];	[2.0, 2.0, 0.0];	[('m', '101')]
[1.0, 2.0, 1.0];	[2.0, 2.0, 2.0];	[('m', '-101')]
[1.0, 2.0, 2.0];	[1.25, 0.25, 0.25];	[('m', '0-11')]
[1.0, 2.0, 2.0];	[1.25, 0.75, 0.75];	[('m', '0-11')]
[1.0, 2.0, 2.0];	[1.25, 1.25, 1.25];	[('m', '0-11')]
[1.0, 2.0, 2.0];	[1.25, 1.75, 1.75];	[('m', '0-11')]
[1.0, 2.0, 2.0];	[2.0, 0.0, 0.0];	[('m', '0-11')]
[1.0, 2.0, 2.0];	[2.0, 0.5, 0.5];	[('m', '0-11')]
[1.0, 2.0, 2.0];	[2.0, 1.0, 1.0];	[('m', '0-11')]
[1.0, 2.0, 2.0];	[2.0, 1.0, 2.0];	[('m', '-110')]
[1.0, 2.0, 2.0];	[2.0, 1.5, 1.5];	[('m', '0-11')]
[1.0, 2.0, 2.0];	[2.0, 2.0, 1.0];	[('m', '-101')]
[1.0, 2.0, 2.0];	[2.0, 2.0, 2.0];	[('m', '0-11')]
[1.25, 0.25, 0.25];	[1.25, 0.75, 0.75];	[('m', '0-11')]
[1.25, 0.25, 0.25];	[1.25, 1.25, 1.25];	[('m', '0-11')]
[1.25, 0.25, 0.25];	[1.75, 0.25, 0.75];	[('m', '101')]
[1.25, 0.25, 0.25];	[1.75, 0.75, 0.25];	[('m', '110')]
[1.25, 0.25, 0.25];	[2.0, 0.0, 0.0];	[('m', '0-11')]
[1.25, 0.25, 0.25];	[2.0, 0.5, 0.5];	[('m', '0-11')]
[1.25, 0.25, 0.25];	[2.0, 1.0, 1.0];	[('m', '0-11')]
[1.25, 0.25, 0.25];	[2.0, 1.5, 1.5];	[('m', '0-11')]
[1.25, 0.25, 0.25];	[2.0, 2.0, 2.0];	[('m', '0-11')]
[1.25, 0.25, 1.25];	[1.25, 0.75, 1.75];	[('m', '011')]
[1.25, 0.25, 1.25];	[1.25, 1.25, 0.25];	[('m', '0-11')]
[1.25, 0.25, 1.25];	[1.25, 1.25, 1.25];	[('m', '-101')]
[1.25, 0.25, 1.25];	[1.25, 1.75, 0.75];	[('2', '100')]
[1.25, 0.25, 1.25];	[1.5, 0.0, 1.5];	[('m', '-101')]
[1.25, 0.25, 1.25];	[1.5, 1.0, 1.5];	[('m', '-101')]
[1.25, 0.25, 1.25];	[1.5, 2.0, 1.5];	[('m', '-101')]
[1.25, 0.25, 1.25];	[1.75, 0.25, 1.75];	[('m', '-101')]
[1.25, 0.25, 1.25];	[1.75, 0.75, 1.25];	[('m', '110')]
[1.25, 0.25, 1.25];	[1.75, 1.25, 1.75];	[('m', '-101')]
[1.25, 0.25, 1.25];	[2.0, 0.0, 2.0];	[('m', '-101')]
[1.25, 0.25, 1.25];	[2.0, 1.0, 2.0];	[('m', '-101')]
[1.25, 0.25, 1.25];	[2.0, 2.0, 2.0];	[('m', '-101')]
[1.25, 0.75, 0.75];	[1.25, 0.75, 1.75];	[('m', '110')]
[1.25, 0.75, 0.75];	[1.25, 1.75, 0.75];	[('m', '101')]
[1.25, 0.75, 0.75];	[1.25, 1.75, 1.75];	[('m', '0-11')]
[1.25, 0.75, 0.75];	[1.5, 0.0, 0.5];	[('m', '101')]
[1.25, 0.75, 0.75];	[1.5, 0.5, 0.0];	[('m', '110')]
[1.25, 0.75, 0.75];	[1.5, 0.5, 1.0];	[('m', '110')]
[1.25, 0.75, 0.75];	[1.5, 0.5, 2.0];	[('m', '110')]
[1.25, 0.75, 0.75];	[1.5, 1.0, 0.5];	[('m', '101')]
[1.25, 0.75, 0.75];	[1.5, 2.0, 0.5];	[('m', '101')]
[1.25, 0.75, 0.75];	[1.75, 0.25, 0.75];	[('m', '110')]
[1.25, 0.75, 0.75];	[1.75, 0.25, 1.75];	[('m', '110')]
[1.25, 0.75, 0.75];	[1.75, 0.75, 0.25];	[('m', '101')]
[1.25, 0.75, 0.75];	[1.75, 1.75, 0.25];	[('m', '101')]
[1.25, 0.75, 0.75];	[2.0, 0.0, 1.0];	[('m', '110')]
[1.25, 0.75, 0.75];	[2.0, 0.0, 2.0];	[('m', '110')]
[1.25, 0.75, 0.75];	[2.0, 0.5, 0.5];	[('m', '0-11')]
[1.25, 0.75, 0.75];	[2.0, 1.0, 0.0];	[('m', '101')]
[1.25, 0.75, 0.75];	[2.0, 1.0, 1.0];	[('m', '0-11')]
[1.25, 0.75, 0.75];	[2.0, 1.5, 1.5];	[('m', '0-11')]
[1.25, 0.75, 0.75];	[2.0, 2.0, 0.0];	[('m', '101')]
[1.25, 0.75, 0.75];	[2.0, 2.0, 2.0];	[('m', '0-11')]
[1.25, 0.75, 1.75];	[1.25, 1.25, 0.25];	[('2', '100')]
[1.25, 0.75, 1.75];	[1.25, 1.75, 0.75];	[('m', '0-11')]
[1.25, 0.75, 1.75];	[1.5, 0.5, 0.0];	[('m', '110')]
[1.25, 0.75, 1.75];	[1.5, 0.5, 1.0];	[('m', '110')]
[1.25, 0.75, 1.75];	[1.5, 0.5, 2.0];	[('m', '110')]
[1.25, 0.75, 1.75];	[1.75, 0.25, 0.75];	[('m', '110')]
[1.25, 0.75, 1.75];	[1.75, 0.25, 1.75];	[('m', '110')]
[1.25, 0.75, 1.75];	[1.75, 0.75, 1.25];	[('m', '-101')]
[1.25, 0.75, 1.75];	[2.0, 0.0, 0.0];	[('m', '110')]
[1.25, 0.75, 1.75];	[2.0, 0.0, 1.0];	[('m', '110')]
[1.25, 0.75, 1.75];	[2.0, 0.0, 2.0];	[('m', '110')]
[1.25, 1.25, 0.25];	[1.25, 1.25, 1.25];	[('m', '-110')]
[1.25, 1.25, 0.25];	[1.25, 1.75, 0.75];	[('m', '011')]
[1.25, 1.25, 0.25];	[1.5, 1.5, 0.0];	[('m', '-110')]
[1.25, 1.25, 0.25];	[1.5, 1.5, 1.0];	[('m', '-110')]
[1.25, 1.25, 0.25];	[1.5, 1.5, 2.0];	[('m', '-110')]
[1.25, 1.25, 0.25];	[1.75, 1.25, 0.75];	[('m', '101')]
[1.25, 1.25, 0.25];	[1.75, 1.75, 0.25];	[('m', '-110')]
[1.25, 1.25, 0.25];	[1.75, 1.75, 1.25];	[('m', '-110')]
[1.25, 1.25, 0.25];	[2.0, 2.0, 0.0];	[('m', '-110')]
[1.25, 1.25, 0.25];	[2.0, 2.0, 1.0];	[('m', '-110')]
[1.25, 1.25, 0.25];	[2.0, 2.0, 2.0];	[('m', '-110')]
[1.25, 1.25, 1.25];	[1.25, 1.75, 1.75];	[('m', '0-11')]
[1.25, 1.25, 1.25];	[1.5, 0.0, 1.5];	[('m', '-101')]
[1.25, 1.25, 1.25];	[1.5, 1.0, 1.5];	[('m', '-101')]
[1.25, 1.25, 1.25];	[1.5, 1.5, 0.0];	[('m', '-110')]
[1.25, 1.25, 1.25];	[1.5, 1.5, 1.0];	[('m', '-110')]
[1.25, 1.25, 1.25];	[1.5, 1.5, 2.0];	[('m', '-110')]
[1.25, 1.25, 1.25];	[1.5, 2.0, 1.5];	[('m', '-101')]
[1.25, 1.25, 1.25];	[1.75, 0.25, 1.75];	[('m', '-101')]
[1.25, 1.25, 1.25];	[1.75, 1.25, 1.75];	[('m', '-101')]
[1.25, 1.25, 1.25];	[1.75, 1.75, 0.25];	[('m', '-110')]
[1.25, 1.25, 1.25];	[1.75, 1.75, 1.25];	[('m', '-110')]
[1.25, 1.25, 1.25];	[2.0, 0.0, 0.0];	[('m', '0-11')]
[1.25, 1.25, 1.25];	[2.0, 0.0, 2.0];	[('m', '-101')]
[1.25, 1.25, 1.25];	[2.0, 0.5, 0.5];	[('m', '0-11')]
[1.25, 1.25, 1.25];	[2.0, 1.0, 1.0];	[('m', '0-11')]
[1.25, 1.25, 1.25];	[2.0, 1.0, 2.0];	[('m', '-101')]
[1.25, 1.25, 1.25];	[2.0, 1.5, 1.5];	[('m', '0-11')]
[1.25, 1.25, 1.25];	[2.0, 2.0, 0.0];	[('m', '-110')]
[1.25, 1.25, 1.25];	[2.0, 2.0, 1.0];	[('m', '-110')]
[1.25, 1.75, 0.75];	[1.5, 0.0, 0.5];	[('m', '101')]
[1.25, 1.75, 0.75];	[1.5, 1.0, 0.5];	[('m', '101')]
[1.25, 1.75, 0.75];	[1.5, 2.0, 0.5];	[('m', '101')]
[1.25, 1.75, 0.75];	[1.75, 0.75, 0.25];	[('m', '101')]
[1.25, 1.75, 0.75];	[1.75, 1.25, 0.75];	[('m', '-110')]
[1.25, 1.75, 0.75];	[1.75, 1.75, 0.25];	[('m', '101')]
[1.25, 1.75, 0.75];	[2.0, 0.0, 0.0];	[('m', '101')]
[1.25, 1.75, 0.75];	[2.0, 1.0, 0.0];	[('m', '101')]
[1.25, 1.75, 0.75];	[2.0, 2.0, 0.0];	[('m', '101')]
[1.25, 1.75, 1.75];	[1.75, 1.25, 1.75];	[('m', '-110')]
[1.25, 1.75, 1.75];	[1.75, 1.75, 1.25];	[('m', '-101')]
[1.25, 1.75, 1.75];	[2.0, 0.0, 0.0];	[('m', '0-11')]
[1.25, 1.75, 1.75];	[2.0, 0.5, 0.5];	[('m', '0-11')]
[1.25, 1.75, 1.75];	[2.0, 1.0, 1.0];	[('m', '0-11')]
[1.25, 1.75, 1.75];	[2.0, 1.5, 1.5];	[('m', '0-11')]
[1.25, 1.75, 1.75];	[2.0, 2.0, 2.0];	[('m', '0-11')]
[1.5, 0.0, 0.5];	[1.5, 0.5, 0.0];	[('m', '0-11')]
[1.5, 0.0, 0.5];	[1.5, 1.0, 0.5];	[('m', '101')]
[1.5, 0.0, 0.5];	[1.5, 1.5, 2.0];	[('m', '011')]
[1.5, 0.0, 0.5];	[1.5, 2.0, 0.5];	[('m', '101')]
[1.5, 0.0, 0.5];	[1.5, 2.0, 1.5];	[('2', '100')]
[1.5, 0.0, 0.5];	[1.75, 0.75, 0.25];	[('m', '101')]
[1.5, 0.0, 0.5];	[1.75, 1.75, 0.25];	[('m', '101')]
[1.5, 0.0, 0.5];	[2.0, 0.0, 0.0];	[('m', '101')]
[1.5, 0.0, 0.5];	[2.0, 0.5, 0.5];	[('m', '110')]
[1.5, 0.0, 0.5];	[2.0, 1.0, 0.0];	[('m', '101')]
[1.5, 0.0, 0.5];	[2.0, 2.0, 0.0];	[('m', '101')]
[1.5, 0.0, 1.5];	[1.5, 0.5, 2.0];	[('m', '011')]
[1.5, 0.0, 1.5];	[1.5, 1.0, 1.5];	[('m', '-101')]
[1.5, 0.0, 1.5];	[1.5, 1.5, 0.0];	[('m', '0-11')]
[1.5, 0.0, 1.5];	[1.5, 2.0, 0.5];	[('2', '100')]
[1.5, 0.0, 1.5];	[1.5, 2.0, 1.5];	[('m', '-101')]
[1.5, 0.0, 1.5];	[1.75, 0.25, 1.75];	[('m', '-101')]
[1.5, 0.0, 1.5];	[1.75, 1.25, 1.75];	[('m', '-101')]
[1.5, 0.0, 1.5];	[2.0, 0.0, 2.0];	[('m', '-101')]
[1.5, 0.0, 1.5];	[2.0, 0.5, 1.5];	[('m', '110')]
[1.5, 0.0, 1.5];	[2.0, 1.0, 2.0];	[('m', '-101')]
[1.5, 0.0, 1.5];	[2.0, 2.0, 2.0];	[('m', '-101')]
[1.5, 0.5, 0.0];	[1.5, 0.5, 1.0];	[('m', '110')]
[1.5, 0.5, 0.0];	[1.5, 0.5, 2.0];	[('m', '110')]
[1.5, 0.5, 0.0];	[1.5, 1.5, 2.0];	[('2', '100')]
[1.5, 0.5, 0.0];	[1.5, 2.0, 1.5];	[('m', '011')]
[1.5, 0.5, 0.0];	[1.75, 0.25, 0.75];	[('m', '110')]
[1.5, 0.5, 0.0];	[1.75, 0.25, 1.75];	[('m', '110')]
[1.5, 0.5, 0.0];	[2.0, 0.0, 0.0];	[('m', '110')]
[1.5, 0.5, 0.0];	[2.0, 0.0, 1.0];	[('m', '110')]
[1.5, 0.5, 0.0];	[2.0, 0.0, 2.0];	[('m', '110')]
[1.5, 0.5, 0.0];	[2.0, 0.5, 0.5];	[('m', '101')]
[1.5, 0.5, 1.0];	[1.5, 0.5, 2.0];	[('m', '110')]
[1.5, 0.5, 1.0];	[1.5, 1.0, 0.5];	[('m', '0-11')]
[1.5, 0.5, 1.0];	[1.5, 1.0, 1.5];	[('m', '011')]
[1.5, 0.5, 1.0];	[1.5, 1.5, 1.0];	[('2', '100')]
[1.5, 0.5, 1.0];	[1.75, 0.25, 0.75];	[('m', '110')]
[1.5, 0.5, 1.0];	[1.75, 0.25, 1.75];	[('m', '110')]
[1.5, 0.5, 1.0];	[2.0, 0.0, 0.0];	[('m', '110')]
[1.5, 0.5, 1.0];	[2.0, 0.0, 1.0];	[('m', '110')]
[1.5, 0.5, 1.0];	[2.0, 0.0, 2.0];	[('m', '110')]
[1.5, 0.5, 2.0];	[1.5, 1.5, 0.0];	[('2', '100')]
[1.5, 0.5, 2.0];	[1.5, 2.0, 0.5];	[('m', '0-11')]
[1.5, 0.5, 2.0];	[1.75, 0.25, 0.75];	[('m', '110')]
[1.5, 0.5, 2.0];	[1.75, 0.25, 1.75];	[('m', '110')]
[1.5, 0.5, 2.0];	[2.0, 0.0, 0.0];	[('m', '110')]
[1.5, 0.5, 2.0];	[2.0, 0.0, 1.0];	[('m', '110')]
[1.5, 0.5, 2.0];	[2.0, 0.0, 2.0];	[('m', '110')]
[1.5, 0.5, 2.0];	[2.0, 0.5, 1.5];	[('m', '-101')]
[1.5, 1.0, 0.5];	[1.5, 1.0, 1.5];	[('2', '100')]
[1.5, 1.0, 0.5];	[1.5, 1.5, 1.0];	[('m', '011')]
[1.5, 1.0, 0.5];	[1.5, 2.0, 0.5];	[('m', '101')]
[1.5, 1.0, 0.5];	[1.75, 0.75, 0.25];	[('m', '101')]
[1.5, 1.0, 0.5];	[1.75, 1.75, 0.25];	[('m', '101')]
[1.5, 1.0, 0.5];	[2.0, 0.0, 0.0];	[('m', '101')]
[1.5, 1.0, 0.5];	[2.0, 1.0, 0.0];	[('m', '101')]
[1.5, 1.0, 0.5];	[2.0, 2.0, 0.0];	[('m', '101')]
[1.5, 1.0, 1.5];	[1.5, 1.5, 1.0];	[('m', '0-11')]
[1.5, 1.0, 1.5];	[1.5, 2.0, 1.5];	[('m', '-101')]
[1.5, 1.0, 1.5];	[1.75, 0.25, 1.75];	[('m', '-101')]
[1.5, 1.0, 1.5];	[1.75, 1.25, 1.75];	[('m', '-101')]
[1.5, 1.0, 1.5];	[2.0, 0.0, 2.0];	[('m', '-101')]
[1.5, 1.0, 1.5];	[2.0, 1.0, 2.0];	[('m', '-101')]
[1.5, 1.0, 1.5];	[2.0, 2.0, 2.0];	[('m', '-101')]
[1.5, 1.5, 0.0];	[1.5, 1.5, 1.0];	[('m', '-110')]
[1.5, 1.5, 0.0];	[1.5, 1.5, 2.0];	[('m', '-110')]
[1.5, 1.5, 0.0];	[1.5, 2.0, 0.5];	[('m', '011')]
[1.5, 1.5, 0.0];	[1.75, 1.75, 0.25];	[('m', '-110')]
[1.5, 1.5, 0.0];	[1.75, 1.75, 1.25];	[('m', '-110')]
